Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,177.0,-114.3,180.0,top
C2,0.1uF,C_0603_1608Metric,142.0,-114.3,180.0,top
C3,0.1uF,C_0603_1608Metric,108.0,-114.3,180.0,top
C4,0.1uF,C_0603_1608Metric,73.0,-114.3,180.0,top
C5,0.1uF,C_0603_1608Metric,73.0,-65.7,0.0,top
C6,0.1uF,C_0603_1608Metric,108.0,-65.7,0.0,top
C7,0.1uF,C_0603_1608Metric,142.0,-65.7,0.0,top
C8,0.1uF,C_0603_1608Metric,177.0,-65.7,0.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,177.0,-107.0,180.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,142.0,-107.0,180.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,108.0,-107.0,180.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,73.0,-107.0,180.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,73.0,-73.0,0.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,108.0,-73.0,0.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,142.0,-73.0,0.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,177.0,-73.0,0.0,top
J1,Conn_01x03,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,174.75,-92.5,90.0,top
J2,Conn_01x04,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,155.0,-109.75,0.0,top
