Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,BTN-L1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,100.832381,-71.766109,0.0,top
J2,BTN-L2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,100.832381,-80.935739,0.0,top
J3,BTN-L3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,100.832381,-90.105369,0.0,top
J4,BTN-R1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,181.332381,-71.766109,0.0,top
J5,BTN-R2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,181.332381,-80.935739,0.0,top
J6,BTN-R3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,181.332381,-90.105369,0.0,top
J7,BTN-LSIDE,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,100.832381,-99.275,0.0,top
J8,BTN-RSIDE,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,181.332381,-99.275,0.0,top
J9,BTN-LMENU,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,100.832381,-62.596479,0.0,top
J10,BTN-RMENU,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,186.332381,-62.596479,0.0,top
J14,CARD-READER,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,141.804582,-53.775,0.0,top
J15,LEVER,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,128.537916,-53.775,0.0,top
J16,CONN-USB,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,112.77125,-53.775,0.0,top
J17,CONN-EXTRAS,PinHeader_2x03_P2.54mm_Vertical,171.38625,-55.575,90.0,top
J18,BTN-EXTRAS,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,157.57125,-53.775,0.0,top
Q1,BSS138,SOT-23,118.133653,-111.498848,-90.0,top
Q2,BSS138,SOT-23,128.782192,-111.498848,-90.0,top
Q3,BSS138,SOT-23,139.430731,-111.498848,-90.0,top
Q4,BSS138,SOT-23,150.07927,-111.498848,-90.0,top
Q5,BSS138,SOT-23,160.727809,-111.498848,-90.0,top
Q6,BSS138,SOT-23,171.376348,-111.498848,-90.0,top
R1,10k,R_0805_2012Metric,116.283653,-106.098848,-90.0,top
R2,10k,R_0805_2012Metric,126.932192,-106.098848,-90.0,top
R3,10k,R_0805_2012Metric,137.580731,-106.098848,-90.0,top
R4,100R,R_0805_2012Metric,119.983653,-106.098848,-90.0,top
R5,100R,R_0805_2012Metric,130.632192,-106.098848,-90.0,top
R6,100R,R_0805_2012Metric,141.280731,-106.098848,-90.0,top
R7,10k,R_0805_2012Metric,148.22927,-106.098848,-90.0,top
R8,10k,R_0805_2012Metric,158.877809,-106.098848,-90.0,top
R9,10k,R_0805_2012Metric,169.526348,-106.098848,-90.0,top
R10,100R,R_0805_2012Metric,151.92927,-106.098848,-90.0,top
R11,100R,R_0805_2012Metric,162.577809,-106.098848,-90.0,top
R12,100R,R_0805_2012Metric,173.226348,-106.098848,-90.0,top
SW1,SW-RUN,SW_SPST_TL3342,126.1,-65.9,90.0,top
SW2,SW-SERV,SW_SPST_TL3342,163.591385,-65.9,90.0,top
SW3,SW-TEST,SW_SPST_TL3342,151.094256,-65.9,90.0,top
SW4,SW-COIN,SW_SPST_TL3342,138.597128,-65.9,90.0,top
U1,Pico,RPi_Pico_SMD_TH,144.755,-87.213349,90.0,top
